id,title,disposition,hold_reason,file_count,audit_kind,url,folder_path
b-roll-a4m-red-carpet-bb890f8dde8a58694a34bc92dd88c524-premi,"A4M Red Carpet — BB890F8DDE8A58694A34BC92DD88C524 — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,11,other,https://drive.google.com/drive/folders/1RG82UinSjLEdTQWKHz8m2IBkfOmesAMF,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / BB890F8DDE8A58694A34BC92DD88C524
b-roll-a4m-red-carpet-b58089d811d19c8a27fdb09b815f0365-premi,"A4M Red Carpet — B58089D811D19C8A27FDB09B815F0365 — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,12,other,https://drive.google.com/drive/folders/1TStzFhXTZezhf0C2VJvHaHxhFgdnVWIL,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / B58089D811D19C8A27FDB09B815F0365
b-roll-a4m-red-carpet-8b850e689e613052154d43c7b2afae18-premi,"A4M Red Carpet — 8B850E689E613052154D43C7B2AFAE18 — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,24,other,https://drive.google.com/drive/folders/1w8gzkhV6PjBMdcUMlf2wSgn_0LBgiFU6,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / 8B850E689E613052154D43C7B2AFAE18
b-roll-a4m-red-carpet-a45251f9839a886cb3c541ac2add0e6c-premi,"A4M Red Carpet — A45251F9839A886CB3C541AC2ADD0E6C — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,26,other,https://drive.google.com/drive/folders/1zm2ytEEYeAjgszpeC-QKKrqQftgQRfpx,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / A45251F9839A886CB3C541AC2ADD0E6C
b-roll-a4m-red-carpet-f6a9770de117c61e2fdac919647377ea-premi,"A4M Red Carpet — F6A9770DE117C61E2FDAC919647377EA — Premiere, December 2024",reject,machine artifact: TereZa.fcpbundle,40,other,https://drive.google.com/drive/folders/1CaVaGnArXvaK4alDlZo0N--XNqmm7cED,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / A4M Biohack Yourself Master Folder / Tereza / TereZa.fcpbundle / 12-24-24 / Render Files / Thumbnail Media / F6A9770DE117C61E2FDAC919647377EA
b-roll-a4m-red-carpet-100canon-premiere-december-2024,"A4M Red Carpet — 100CANON — Premiere, December 2024",reject,machine artifact: DCIM,19,b-roll / video,https://drive.google.com/drive/folders/1prmYpFdl2RWIsG6TQyFSe-xFtaKz8quX,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / All Interviews / Station 3 / Video / 3001 / DCIM / 100CANON
b-roll-peaks-data-b-roll-december-2024,"Peaks Data — B-Roll, December 2024",reject,machine artifact: Ryan 2.fcpbundle,89,other,https://drive.google.com/drive/folders/1PGJvy-0zJPysR095Uux6_1E5dgKBv3oC,2. sHEALed MASTER / 1. sHEALed BTS Adam Chani Master / sHEALed BTS RAW Footage / Day 02 / 04 Ryan Encinas & Dr. Steven Moore / File / Ryan 2.fcpbundle / 12-17-24 / Render Files / Peaks Data
b-roll-a4m-red-carpet-12f3f8a50c89c0808445283a2c263e6b-premi,"A4M Red Carpet — 12F3F8A50C89C0808445283A2C263E6B — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,11,other,https://drive.google.com/drive/folders/1gX9zPqpZeFT4CTtxXXJ01l8i03a-9Cr9,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / 12F3F8A50C89C0808445283A2C263E6B
b-roll-a4m-red-carpet-35eff17ec6cb51c1a01336f390626ed8-premi,"A4M Red Carpet — 35EFF17EC6CB51C1A01336F390626ED8 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,24,other,https://drive.google.com/drive/folders/1wsa1RiCLntMM9bESjQbDyOA6pzP80IKl,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / 35EFF17EC6CB51C1A01336F390626ED8
b-roll-a4m-red-carpet-46d2714052d2ef0059e1f9aac19b5450-premi,"A4M Red Carpet — 46D2714052D2EF0059E1F9AAC19B5450 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,43,other,https://drive.google.com/drive/folders/1Hwd6kd3IHw-XeFthAYXMMEhfuRKzho5M,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / 46D2714052D2EF0059E1F9AAC19B5450
b-roll-a4m-red-carpet-4a94a94567c6650db4496225e0d06f91-premi,"A4M Red Carpet — 4A94A94567C6650DB4496225E0D06F91 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,10,other,https://drive.google.com/drive/folders/15xUQ-TT08jS_A6w3Dtt5IYnUrenXV9wF,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / 4A94A94567C6650DB4496225E0D06F91
b-roll-a4m-red-carpet-5991133c40efb052899f85198f244eda-premi,"A4M Red Carpet — 5991133C40EFB052899F85198F244EDA — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,131,other,https://drive.google.com/drive/folders/1CR1Ut0xk8FONJgnLJlSptWbUCvExvdCV,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / 5991133C40EFB052899F85198F244EDA
b-roll-a4m-red-carpet-68c0b0f74a9a5da7d6038b8c312cbc40-premi,"A4M Red Carpet — 68C0B0F74A9A5DA7D6038B8C312CBC40 — Premiere, December 2024",reject,machine artifact: NEW PANNEL #3.fcpbundle,28,other,https://drive.google.com/drive/folders/1BX3ooKAlLG9iiTseFKOPPyFfeTi7SlsX,1. 12/15/2024 - A4M Biohack Yourself Red Carpet Master / Biohack Yourself Premiere / Panels / NEW PANNEL #3.fcpbundle / 12-19-24 / Render Files / Thumbnail Media / 68C0B0F74A9A5DA7D6038B8C312CBC40
